id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
32951022,1Br apartment close to Harvard Square,114029403,Danilo,,Riverside,42.36707,-71.11548,Entire home/apt,100,91,3,2019-06-13,0.20,1,0
32986957,Hey Private Room close to MIT and Harvard Uni,248263858,Ann,,Wellington-Harrington,42.37378,-71.09734,Private room,60,1,49,2020-05-19,3.44,1,141
33017126,Wonderful room in the heart of Cambridge,24961370,Timothy,,Mid-Cambridge,42.37151,-71.10107,Private room,71,91,1,2019-03-29,0.07,1,0
33028188,"Crisp Kendall Square Studio w/ Gym, W/D by MIT, MGH & River by Blueground",107434423,Blueground,,Area 2/MIT,42.36288,-71.08784,Entire home/apt,133,32,1,2019-10-03,0.13,36,320
33035685,A Cozy Room with steps to Harvard Yard & T to MIT,56968846,Esther,,West Cambridge,42.37374,-71.12379,Private room,79,30,0,,,3,92
33038463,"A Great Room in the Heart of Harvard sq, T to MIT",56968846,Esther,,West Cambridge,42.37346,-71.12439,Private room,99,30,1,2020-04-15,0.71,3,91
33063308,One Bedroom Between Harvard & MIT (1583),51079261,Riverside,,Cambridgeport,42.36132,-71.09945,Private room,110,32,4,2019-07-14,0.29,47,0
33064251,One Bedroom Between Harvard & MIT (1582),51079261,Riverside,,Cambridgeport,42.36053,-71.09944,Private room,120,1,9,2019-07-27,0.65,47,35
33067776,joyful private room next to central sq/MIT 1,248859826,Julia,,Cambridgeport,42.35952,-71.1104,Private room,60,1,41,2020-04-23,3.04,3,0
33072598,joyful private room next to central sq/MIT 2,248859826,Julia,,Cambridgeport,42.36035,-71.11091,Private room,60,1,75,2020-05-24,5.20,3,152
33072838,joyful private room next to central sq/MIT 3,248859826,Julia,,Cambridgeport,42.35948,-71.10943,Private room,60,1,86,2020-05-02,6.14,3,159
33128612,Studio 3-minute walk to subway,227996806,Mary,,North Cambridge,42.38975,-71.12254,Entire home/apt,120,91,6,2019-09-08,0.41,5,298
